City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,nautla,20.22,-96.78,87.08,64,11,8.03,MX,1592676728
254,dunedin,-45.87,170.5,44.01,94,89,1.99,NZ,1592676564
255,poum,-20.23,164.02,70.5,81,21,12.06,NC,1592676729
256,ballina,-28.87,153.57,53.01,100,40,3.36,AU,1592676729
257,salinopolis,-0.61,-47.36,84.25,70,5,12.08,BR,1592676684
258,margate,51.38,1.39,68.0,63,6,5.01,GB,1592676486
259,hervey bay,-25.3,152.85,61.0,94,76,5.01,AU,1592676729
260,talnakh,69.49,88.4,51.8,76,75,8.95,RU,1592676496
261,lapeer,43.05,-83.32,87.8,40,1,4.7,US,1592676729
262,krasnoselkup,65.7,82.47,45.16,88,100,14.81,RU,1592676730
263,oranjemund,-28.55,16.43,59.72,81,21,4.83,NA,1592676730
264,riyadh,24.69,46.72,98.6,13,100,5.82,SA,1592676730
265,preobrazheniye,42.9,133.91,51.96,92,100,5.06,RU,1592676730
266,rawson,-43.3,-65.1,60.8,33,97,28.43,AR,1592676523
267,calabozo,8.92,-67.43,83.97,78,97,4.92,VE,1592676730
268,tsumeb,-19.23,17.72,55.8,39,2,5.26,NA,1592676730
269,amalapuram,16.58,82.02,89.6,55,75,9.17,IN,1592676548
270,mayor pablo lagerenza,-19.93,-60.77,93.4,30,0,17.05,PY,1592676731
271,kaitangata,-46.28,169.85,43.0,87,73,1.99,NZ,1592676731
272,deputatskiy,69.3,139.9,68.58,48,0,0.76,RU,1592676731
273,freeport,40.66,-73.58,87.01,54,1,11.41,US,1592676521
274,longyearbyen,78.22,15.64,41.0,86,75,21.92,SJ,1592676731
275,husavik,66.04,-17.34,69.8,46,20,16.11,IS,1592676731
276,vila franca do campo,37.72,-25.43,68.0,77,20,13.87,PT,1592676731
277,erzin,36.96,36.2,75.99,87,0,1.99,TR,1592676732
278,san martin,-33.08,-68.47,62.6,34,63,5.82,AR,1592676732
279,tautira,-17.73,-149.15,78.8,78,75,3.36,PF,1592676732
280,kahului,20.89,-156.47,78.8,57,20,10.25,US,1592676579
281,zhigansk,66.77,123.37,62.94,52,0,1.21,RU,1592676732
282,dilla,6.41,38.31,62.87,82,84,4.25,ET,1592676732
283,quelimane,-17.88,36.89,69.01,93,40,8.05,MZ,1592676732
284,raymond,43.9,-70.47,96.01,50,1,3.2,US,1592676732
285,buchanan,5.88,-10.05,84.2,74,20,8.05,LR,1592676733
286,nanortalik,60.14,-45.24,41.36,74,100,10.98,GL,1592676530
287,nizwa,22.93,57.53,91.08,34,78,5.08,OM,1592676442
288,san andres,12.58,-81.7,87.8,74,40,18.34,CO,1592676733
289,taoudenni,22.68,-3.98,114.13,6,81,2.93,ML,1592676733
290,rio grande,-32.03,-52.1,64.4,93,90,3.36,BR,1592676733
